#id source=all_source.txt	reference=all_reference.txt	test1=MOSES	test2=TECTOMT
no_id	Prague Stock Market falls to minus by the end of the trading day	Pražská burza se ke konci obchodování propadla do minusu	Prague Stock market klesá až na minus na konci obchodního dne	Praha akciový trh klesá na minus konec obchodního dne.
no_id	Otherwise there reputedly looms the threat that other countries will also feel the impacts.	Jinak prý hrozí, že dopady budou cítit i další země.	Jinak tam údajně rýsuje hrozba, že ostatní země budou cítit dopady.	Jinak se nádeník rýsuje hrozbu, že ostatní země také budou cítit dopady.
no_id	American stock bloodbath	Krvavá lázeň amerických akcií	Americké akcie lázeň	Americké akciové krveprolití.
no_id	On Monday the American House of Representatives rejected the plan to support the financial system, into which up to 700 billion dollars (nearly 12 billion Czech crowns) was to be invested.	Americká Sněmovna reprezentantů v pondělí odmítla plán podpory finančního systému, na který mělo být vynaloženo až 700 miliard dolarů (téměř 12 bilionů Kč).	V pondělí americká sněmovna reprezentantů odmítli plán na podporu finančního systému, do něhož až 700 miliard dolarů (téměř 12 miliard korun) měla být investovány.	V pondělí Americký dům zástupců odmítl plán podporovat finanční systém, na který až 700 miliard dolarů (téměř 12 miliard českých korun) byly, jsou investovány.
no_id	The legislators thus ignored President George Bush's appeal for them to support the plan.	Zákonodárci tak ignorovali výzvu prezidenta George Bushe, aby plán podpořili.	Zákonodárci tak ignorovala výzvu prezidenta George Bushe, aby podpořil plán.	Zákonodárci tak ignorovali výzvu prezidenta George Bushe, aby podpořili plán.
no_id	According to Bush, the plan would tackle the basic causes of the financial crisis and help stabilize the entire economy.	Podle Bushe by plán řešil základní příčiny finanční krize a pomohl by stabilizovat celou ekonomiku.	Podle Bushova plánu by řešily základní příčiny finanční krize a pomoci stabilizovat celé hospodářství.	Podle Bushe plán řešil by základní příčiny finanční krize a pomohl by stabilizovat celou ekonomiku.
no_id	American stocks suffered a bloodbath on Monday and the major stock indexes registered their greatest fall in more than 20 years.	Americké akcie v pondělí zažily krvavou lázeň a hlavní akciové indexy zaznamenaly největší pád za více než 20 let.	Americké akcie utrpěly krvavým masakrem v pondělí a hlavních akciových indexů registrovaných jejich největší pokles o více než 20 let.	Americké akcie utrpěly masakr v pondělí a hlavní indexy akcie zaregistrovaly svůj největší pád ve více než 20 letech.
no_id	The Dow Jones Index dropped by nearly seven percent, having registered a similarly-ranged fall the last time in 1987.	Dow Jonesův index klesl o téměř sedm procent a propad v podobném rozsahu zaznamenal naposledy v roce 1987.	Dow Jonesův index klesl o téměř sedm procent, zaznamenaly pokles similarly-ranged naposledy v roce 1987.	Dow Jones index klesl téměř sedm procent, zaregistroval similarly-ranged pád poslední dobu v roce 1987.
no_id	The index had dropped even prior to the vote, but as soon as it was revealed that the bill had not passed in the House, the index went into free fall.	Index klesal už před hlasováním, ale jakmile se ukázalo, že návrh ve sněmovně neprošel, index se ocitl ve volném pádu.	Index klesl ještě před hlasováním, ale jakmile se ukázalo, že zákon vůbec prošel ve sněmovně, index šel do volného pádu.	Index klesl dokonce před volbou, ale jakmile bylo odhaleno, že zákon neprojít Domem index byl do volného pádu.
no_id	Congress yields: US government can pump 700 billion dollars into banks	Kongres ustoupil: Vláda USA může do bank napumpovat 700 miliard dolarů	Kongres výnosy: nás vládní moci 700 miliard dolarů v bankách	Kongres přinášet: Naše vláda může napumpovat 700 miliard dolarů do bank.
no_id	The top representatives of the American Congress and George W. Bush's cabinet have agreed upon a broader form of the agreement on financial assistance for the American financial system.	Nejvyšší představitelé amerického Kongresu a vláda prezidenta George W. Bushe se dohodli na širší podobě dohody o finanční pomoci pro americký finanční systém.	Nejvyšší představitelé amerického kongresu a George W. Bushe v kabinetu dohodly na širší forma dohody o finanční pomoci pro americký finanční systém.	Vysocí zástupci Američana kongresu a George W. vlády Bushe se dohodli na širší formě dohody o finanční pomoci o americkém finančním systému.
no_id	The vote on it will take place at the beginning of next week.	Hlasovat se o něm bude počátkem příštího týdne.	Hlasuje se o to se bude konat na začátku příštího týdne.	Hlas o tom bude mít místo na začátku příštího týdne.
no_id	American legislators made a breakthrough in their talks about the approval of a bailout plan in the form of financial assistance for the American financial system amounting to 700 billion dollars (approximately 12 billion crowns).	Američtí zákonodárci učinili průlom v rozhovorech o schválení záchranného plánu ve formě finanční pomoci pro americký finanční systém v objemu 700 miliard dolarů (přibližně 12 bilionů korun).	Američtí zákonodárci se průlomu v rozhovorech o schválení záchranný plán ve formě finanční podporu pro americký finanční systém ve výši 700 miliard dolarů (přibližně 12 miliard korun).	Američtí zákonodárci učinili průlom ve svých rozhovorech o schválení plánu sanace ve formě finanční pomoci pro americký finanční systém, který činí 700 miliard dolarů (přibližně 12 miliard korun).
no_id	But all is not won yet.	Vyhráno však ještě není.	Ale ještě není dobojováno.	Ale všechno není vyhráno ještě.
no_id	That is, the members of congress have to complete some details of the agreement before they can make the final version of the law public and vote on it.	Kongresmani totiž musejí dokončit některé detaily dohody, než budou moci zveřejnit finální podobu zákona a hlasovat o něm.	To znamená, že členové kongresu musím dokončit některé detaily dohody, než se jim podaří se konečná verze zákona veřejné a hlasovat.	Je to, členy Kongresu musí dokončit některé podrobnosti dohody, než mohou být konečnou verzi práva veřejnosti a hlasu na tom.
no_id	The plan to support the financial system will be discussed in the House of Representatives on Monday.	Plán podpory finančního systému se bude projednávat na půdě Sněmovny reprezentantů v pondělí.	Plán na podporu finančního systému se budou projednávat ve sněmovně reprezentantů v pondělí.	Plán podporovat finanční systém bude projednáván v Domě zástupců v pondělí.
no_id	The chair of the Financial Services Committee, Barney Frank, told Reuters this on Sunday.	V neděli to řekl agentuře Reuters předseda výboru pro bankovní a finanční služby Sněmovny Barney Frank.	Předseda výboru pro finanční služby, Barney Frank, řekl agentuře Reuters to v neděli.	Předseda Finančního výboru služeb Barneyho Franka to řekl Reuters v neděli.
no_id	Sources say that the senate could evidently vote on the plan on Wednesday at the soonest.	V Senátu by se podle zdrojů mohlo hlasovat o plánu zřejmě nejdřív ve středu.	Zdroje tvrdí, že senát by zřejmě hlasovat o plánu, který ve středu na co nejrychleji.	Zdroje říkají, že by Senát zřejmě mohl hlasovat o plánu ve středu na Keatsovi.
no_id	Economists say that the announcement that the bailout plan will be approved should be the first psychological factor significant to the revival of financial markets.	Podle ekonomů by mělo být oznámení o tom, že ke schválení záchranného plánu dojde, prvním významným psychologickým faktorem pro oživení finančních trhů.	Ekonomové tvrdí, že oznámení, že záchranný plán bude schválen, měl by být první psychologický faktor významný pro oživení finančních trhů.	Ekonomové říkají, že by oznámení, že plán sanace bude schválen, mělo být první psychologický faktor významný k oživení finančních trhů.
no_id	Afterward, however, a "sobering up" will take place due to the complicated nature of the mechanisms with which assistance to the markets can be achieved in practice.	Poté však dojde k "vystřízlivění" díky složitosti mechanismů, jakými pomoci trhům dosáhnout i v praxi.	Později však "střízlivět" se bude konat v důsledku složité povaze mechanismy, s jejichž pomocí na trzích lze dosáhnout v praxi.	Potom naopak a "aby vystřízlivěl", vezme místo důvod složité povahy mechanismů se kterou pomocí trhům, které mohou být dosaženy v praxi.
no_id	Paulson: Plan must be effective	Paulson: Plán musí být účinný	Paulsonova plánu musí být účinná:	Konec: plán musí být účinný.
no_id	"We've made great progress.	"Učinili jsme velký pokrok.	"Udělali jsme velký pokrok.	"Udělali jsme velký pokrok.
no_id	We've resolved our differing opinions on how the package for the stabilization of markets should look," Democrat Nancy Pelosi told Bloomberg.	Vyřešili jsme naše rozdílné názory ohledně toho, jak má vypadat podoba balíčku ke stabilizaci trhu," uvedla pro agenturu Bloomberg demokratka Nancy Pelosiová.	Musíme vyřešit naše rozdílné názory na to, jak ten balíček pro stabilizaci trhů by mělo vypadat, "řekl demokrat Nancy Pelosi Bloomberg.	Vyřešili jsme svá rozdílná stanoviska, jak by balíček pro stabilizaci trhů vypadal," demokrat Nancy Pelosi řekla Bloomberg.
no_id	According to her, the final vote could take place as early as Sunday.	Podle ní by mohlo ke konečnému hlasování dojít ještě v neděli.	Podle ní, konečné hlasování by mohlo dojít již v neděli.	Podle ní by konečné hlasování mohlo brát místo tak brzy jako neděle.
no_id	Representatives of the legislators met with American Finance Minister Henry Paulson Saturday night in order to give the government fund a final form.	Zástupci zákonodárců se v noci na neděli setkali s americkým ministrem financí Henrym Paulsonem, aby dali definitivní podobu vládnímu fondu.	Zástupci vlády se setkal s americký ministr financí Henry Paulson v sobotu v noci, aby vládní fond konečnou podobu.	Zástupci zákonodárců se setkali s Američanem finanční ministra Henryho Paulson sobotní noc, dovnitř dá vládnímu fondu konečný formulář.
no_id	The fund is meant to purchase unsellable mortgage assets which are pulling financial companies down into heavy losses and are endangering the stability of the entire system.	Ten by měl odkupovat od finančních společností neprodejná hypoteční aktiva, která stahují finanční firmy do těžkých ztrát a ohrožují stabilitu celého systému.	Fond je určen k nákupu nazvané prašivina nebo plíseň hypotečních aktiv, která si z finančních společností, dolů do těžkých ztrát a ohrožuje stabilitu celého systému.	Fond je znamenán koupit unsellable hypotéky majetky, který tahá finanční společnosti dolů do těžkých ztrát a ohrožují stabilitu celého systému.
no_id	"We're on the edge of a definitive agreement on a plan which will function and which also must be effective on the market.	"Jsme na pokraji definitivní dohody plánu, který bude fungovat a musí být na trhu také účinný.	"Jsme na okraji definitivní dohodu o plánu, který bude fungovat, a které rovněž musí být účinné na trhu.	"Jsme na okraji konečné dohody o plánu, který bude fungovat a který také bude muset být účinná na trhu.
no_id	It's necessary to continue in the curative plan, but I think we're there," Paulson said.	Je třeba ještě v ozdravném plánu pokračovat, ale myslím, že jsme tam," řekl Paulson.	Je nutné pokračovat v léčebný plán, ale myslím, že jsme tady, "řekl Paulson.	Je to nezbytné pokračovat v léčebném plánu, ale že myslím, že jsme tam," Paulson řekla.
no_id	A signal for Asian trading	Signál pro asijské obchodování	Signál pro asijské obchodování	Signál pro asijské obchodování.
no_id	The global financial crisis is significantly impacting the stock markets, which are dropping sharply.	Globální finanční krize výrazně dopadá na akciové trhy, které prudce klesají.	Globální finanční krize má výrazný vliv na akciové trhy, které se prudce zhoršil.	Globální finanční krize výrazně ovlivní akciové trhy, které klesají prudce.
no_id	According to Nevada Democratic senator Harry Reid, that is how that legislators are trying to have Congress to reach a definitive agreement as early as on Sunday.	Podle nevadského demokratického senátora Harryho Reida se tak zákonodárci snaží o to, aby v Kongresu dospěli k definitivní dohodě ještě v neděli.	V Nevadě demokratický senátor Harry Reid, to je tak, jak to zákonodárci chtějí mít kongresu dospět k definitivní dohodě již v neděli.	Podle Nevady demokratického Harryho Reida senátora, ten je, se jak zákonodárci snaží mít Kongres dosáhnout konečnou dohodu tak brzy v neděli.
no_id	Namely, by doing this they want to calm investors prior to trading on the Asian financial markets, which, given their time zones, are the first ones where the decision by Congress could influence Monday's trading.	Chtějí tím totiž uklidnit investory před obchodováním na asijských finančních trzích, které jsou v časovém pásmu první, kde by rozhodnutí Kongresu mohlo ovlivnit pondělní obchodování.	Totiž, že to chtějí, aby uklidnila investory před obchodování na asijských finančních trzích, které, vzhledem k jejich časová pásma, jsou první, kdo kde rozhodnutí kongresu mohlo ovlivnit pondělní obchodování.	Konkrétně, dělá to, chtějí, aby uklidnila investory před obchodováním na asijských finančních trzích, které daly jejich časová pásma, jsou první ti, kde by rozhodnutí Kongresu mohlo ovlivňovat obchodování pondělí.
no_id	In the meantime, however, it is not yet clear with any certainty when both chambers of the American Congress will vote on the bill, nor whether the negotiations will not become hindered by some problem.	Zatím však ještě není s určitostí jasné, kdy budou obě komory amerického Kongresu o zákonu hlasovat, ani to, zda nemohou jednání na poslední chvíli uváznout na nějakém problému.	Mezitím však zatím není jasné, s jistotou, když obě komory amerického kongresu budou hlasovat o zákonu, ani to, zda jednání se brání nějaký problém.	Zatím to přesto není ještě jasné s jakoukoli jistotou, kdy, obě komory Amerického kongresu budou hlasovat o zákoně ani, jestli se jednání nebudou stát, bránil nějaký problém.
no_id	The legislators hope that it will be approved in the next few days.	Zákonodárci doufají, že bude schválen v příštích několika dnech.	Zákonodárci doufají, že bude schválen v nejbližších dnech.	Zákonodárci doufají, že bude schváleno v příštích několika dnech.
no_id	However, the bill will still go through a series of changes.	Zákon však ještě dozná řady změn.	Návrh zákona však stále ještě projít řadou změn.	Přesto Bill stále půjde řadou změn.
no_id	The total amount designated for assistance to the system is to be divided into two parts.	Celková částka určená pro pomoc systému má být rozdělena na dvě části.	Celková částka určená pro pomoc do systému by měla být rozdělena do dvou částí.	Celková částka určená pro pomoc systému je, je rozdělen na dvě části.
no_id	The initial 350 billion dollars is to become available as soon as possible, as requested by president George Bush.	Počátečních 350 miliard dolarů má být k dispozici co nejdříve to bude možné, jak požadoval prezident George Bush.	Prvních 350 miliard dolarů, je stát se co nejdříve k dispozici, jak požadoval prezident George Bush.	Počátečních 350 miliard dolarů se je stát dostupných možné, jsou požádány Georgem Bushem prezidenta.
no_id	But Congress can block the release of the remaining amount, in the sequence of a further 100 billion dollars and later, the final 350 billion dollars, if it has the impression that the program is not fulfilling its function.	Kongres ale může zablokovat uvolnění zbývající částky pokud bude mít dojem, že program neplní svoji funkci, a to ve sledu dalších 100 miliard dolarů a později konečných 350 miliard dolarů.	Ale kongres může blokovat uvolnění zbývající částku, v pořadí dalších 100 miliard dolarů a později na konečných 350 miliard dolarů, když má dojem, že program není plní svou funkci.	Ale Kongres může zablokovat uvolnění zbývající částky v pořadí dalších 100 miliard dolarů a později konečných 350 miliard dolarů, pokud má dojem, že program neplní jeho funkci.
no_id	Bush appreciates progress in negotiations	Bush ocenil pokrok v jednáních	Bush oceňuje pokrok v jednání	Bush oceňuje pokrok v jednáních.
no_id	Though the president can veto this decision, Congress can override his veto.	Prezident sice může toto rozhodnutí vetovat, avšak Kongres může jeho veto přehlasovat.	Přestože prezident může vetovat rozhodnutí kongresu, překonají své právo veta.	Když prezident může vetovat toto rozhodnutí, Kongres může přepsat své veto.
no_id	Even in spite of these changes, the essential idea of the program, to gain finances for the buyout of bad mortgage stocks, the value of which had dropped because hundreds of thousands of Americans were unable to pay off their mortgages, has remained intact.	I přes tyto změny však zůstala základní myšlenka programu, kterou bylo získat finance na odkup špatných hypotečních cenných papírů, jejichž hodnota se propadla, protože stovky tisíců Američanů nejsou schopni splácet své hypotéky, zachována.	I přes tyto změny, základní myšlenka programu, získat finanční prostředky na odkoupení špatných hypoték akcie, jejichž hodnota klesla, protože statisíce Američanů, kteří nejsou schopni splácet své hypotéky, zůstala neporušena.	Přes i tyto změny základní myšlenky programu, aby získal finance na odkup špatných hypotečních zásob, hodnota, které klesl, protože stovky tisíců Američanů nemohly splatit jejich hypotéky, zůstala neporušená.
no_id	"We've drawn it all up.	"Vypracovali jsme všechno.	"Máme tady všechno.	"Vypracovali jsme to všechno.
no_id	The House of Representatives should be able to vote on the bill on Sunday and the Senate on Monday," said Republican senator Judd Gregg.	Sněmovna reprezentantů by měla být schopná hlasovat o zákonu v neděli a Senát v pondělí," uvedl republikánský senátor Judd Gregg.	Sněmovna reprezentantů by měli mít možnost hlasovat o návrhu zákona v senátu v neděli a v pondělí, "řekl republikánský senátor Judd Gregg.	Dům zástupců by mohl hlasovat o zákoně v neděli a Senátu v pondělí," řeklo republikánského Judda Gregga senátora.
no_id	Even American president Bush is satisfied with the progress in negotiations.	S pokrokem ve vyjednávání je spokojen i americký prezident Bush.	Dokonce i americký prezident Bush je spokojena s pokrokem v jednání.	I americký Bush prezidenta je splněn s pokrokem v jednáních.
no_id	His speaker Tony Fratto declared that Bush was satisfied with Saturday's progress and appreciated the "two-party effort to stabilize our financial markets and save our economy".	Jeho mluvčí Tony Fratto prohlásil, že Bush je se sobotním pokrokem spokojen a oceňuje "oboupartajní snahu stabilizovat naše finanční trhy a chránit naše hospodářství".	Jeho mluvčí Tony Fratto prohlásil, že Bush je spokojen se sobotní pokroku a ocenil "dvoustranické úsilí stabilizovat naše finanční trhy a zachránit naši ekonomiku".	Jeho Tony Fratto reproduktoru prohlásila, že Bush byl uspokojen s pokrokem soboty a oceňovala "two-party úsilí stabilizovat naše finanční trhy a zachránit naši ekonomiku."
no_id	Constraining golden parachutes	Omezení zlatých padáků	Omezování zlaté padáky	Omezuje zlaté padáky.
no_id	The chairman of the Senate Banking Committee, Christopher Dodd, the chief negotiator, said that the legislators had agreed upon the responsibilities for the financial program, protection of the taxpayers against losses, closing of relief packages, and timing of the financial plan.	Předseda bankovního výboru Senátu Christopher Dodd, vedoucí vyjednavač, řekl, že zákonodárci se dohodli na odpovědnosti za peněžní program, ochranu daňových poplatníků ze ztrát, uzavření úlev, načasování financování plánu.	Předseda senátního výboru pro bankovnictví, Christopher Dodd, hlavní vyjednavač, řekl, že zákonodárné orgány se dohodly na odpovědnost za finanční program ochrany daňových poplatníků proti ztrátám, zavírání humanitární balíčky a načasování finančního plánu.	Předseda Senátního bankovního výboru Christophera Dodd hlavního vyjednavače řekl, že se zákonodárci dohodli na odpovědnostech za finanční program ochrany poplatníků před ztrátami, zavřou pomocné balíčky a načasování finančního plánu.
no_id	The new law is also meant to constrain the "golden parachutes" for the heads of the companies participating in the program and establishes a committee which will oversee the fund.	Nový zákon má také omezit tzv. zlaté padáky pro ředitele společnostní účastnících se programu a zřizuje výbor, který bude mít nad fondem dohled.	Nový zákon je rovněž omezovat "zlaté padáky" pro vedení firem účastnících se programu a zřizuje výbor, který bude dohlížet na fond.	Nový zákon také je znamenán omezovat "zlaté padáky" hlavy společností, které se účastní programu a zavádí výboru, který bude dohlížet na fond.
no_id	The committee is to be directed by the Ministry of Finance.	Ten by mělo řídit ministerstvo financí.	Výbor má být řízeny ministerstvem financí.	Výbor je, je řízen Ministerstvem financí.
no_id	"We've worked very hard on this and we've made great progress toward an agreement that will work and that will be useful for all Americans," Paulson said.	"Pracovali jsme na tom velmi tvrdě a učinili jsme velký pokrok směrem k dohodě, která bude fungovat a bude užitečná pro trh i pro všechny Američany," uvedl Paulson.	"Pracovali jsme velmi tvrdě na tom a udělali jsme velký pokrok směrem k dohodě, že bude fungovat a že bude prospěšné pro všechny Američany," řekl Paulson.	"Pracovali jsme velmi tvrdě na tom a byli jsme velký pokrok k dohodě, která bude fungovat a že to bude užitečné, všichni Američané" Paulson řekli.
no_id	The plan also includes assistance to homeowners who have problems making their payments.	Plán počítá také s pomocí pro majitelé domů, kteří mají problémy se splácením.	Plán také zahrnuje pomoc pro vlastníky domů, kteří mají problémy s jejich plateb.	Plán také zahrnuje pomoc majitelé, kteří mají problémy, jsou své platby.
no_id	The cabinet should negotiate new payments for the mortgages it buys, with the aim of lowering the monthly payment costs for those in debt and enabling them to keep their houses.	Vláda by měla vyjednat nové splátky u hypoték, které koupí, s cílem snížit měsíční náklady na splátky pro dlužníky a umožnit jim, aby si mohli ponechat své domy.	Kabinet by měl jednat o nové platby za hypotéku kupuje, s cílem snížit měsíční platby nákladů těchto dluhů, a umožnit jim, aby si udrželi své domy.	Vláda by měla sjednat nové platby za hypotéky, kupuje z cíle snížit měsíční platební náklady na ty v dluhu a umožnit udržet jejich domy.
no_id	Marek: Psychological help	Marek: Psychologická pomoc	Marek: psychologickou pomoc	Marek: psychologická pomoc.
no_id	According to the chief economist of Patria Finance, David Marek, the proposed plan is a good idea, but its realization will be very difficult.	Navrhovaný plán je podle hlavního ekonoma Patria Finance Davida Marka dobrým nápadem, velmi obtížná ale bude jeho realizace.	Podle hlavního ekonoma Patria finance Davida Marka, navrhovaný plán je dobrý nápad, ale její realizace bude velmi obtížné.	Podle hlavního ekonoma Patria financí Davidů Marků navrhovaný plán je dobrý nápad, ale jeho realizace bude velmi těžká.
no_id	"And this is because it is not known through what mechanism and for what price the problematic assets will be bought.	"A to proto, že se neví, jakým mechanismem a za jakou cenu se problémová aktiva budou vykupovat.	"A je to proto, že není známo, do jaké mechanismem a za jakou cenu se problémová aktiva budou kupovat.	"A je to, protože to není, je věděno co mechanismus a za jakou cenu problematická aktiva budou koupena.
no_id	This will determine how the financial sector and the cabinet will divide the losses amongst themselves," Marek told the server iHNed.cz this week.	To bude určující pro to, jak si mezi sebe rozdělí ztráty finanční sektor a vláda," řekl tento týden pro server iHNed.cz Marek.	To bude určovat, jak finanční sektor a vláda rozdělí ztráty mezi sebou, "řekl Marek serveru ihned. cz tento týden.	Určí, jak finanční sektor a vláda rozdělí, Ztráty mezi sebou" Marek řekly serveru iHNed.cz tento týden.
no_id	Whether the plan is approved now or at the beginning of next week is not so significant, according to Marek.	Jestli plán bude schválen nyní, nebo začátkem příštího týdne, není podle Marka až tak podstatné.	Zda je tento plán schválen, nebo na začátku příštího týdne není tak významný, podle Marka.	Zda plán je schválen teď nebo na začátku příštího týdne, není tak významný podle Marka.
no_id	"More important is for the members of congress to agree this week to support the plan and to approve it as soon as possible.	"Mnohem důležitější je, aby se už tento týdenkongresmani dohodli, že tento plán podporují a že jej posvětí co nejdříve to půjde.	"Mnohem důležitější je pro členy kongresu, aby se dohodly na tento týden podpořit plán schválit, a to co nejdříve.	"Důležitější to je pro členy Kongresu, souhlasit tento týden, že podporuje plán a schválit možné.
no_id	The psychological significance of the agreement that the approval will take place is the most important thing at this time," Marek emphasized.	Ten psychologický význam dohody o tom, že dojde ke schválení, je v tuto chvíli nejdůležitější," zdůraznil Marek.	Ten psychologický význam dohody, že se bude konat je nejdůležitější v této době, "zdůraznil Marek.	Psychologický význam dohody, že schválení bude mít místo, je nejdůležitější věc na tuto dobu," zdůraznil Marek.
no_id	Razor's edge battle: MP3 players vs. cell phones.	Souboj na ostří nože: MP3 přehrávače proti mobilům.	S hranou bitvu: MP3 přehrávače vs. mobilní telefony.	Okraj bitva žiletky: MP3 hráč v. mobilní telefon.
